event,side,entry_time,entry_price,exit_time,exit_price,reason,lots,risk_usd,sl,tp,gross,pnl,r
2017-05-05T12:30,short,2017-05-05 12:30:00+00:00,1232.2791,2017-05-05 13:30:00+00:00,1229.1779999999999,timeout,0.01,3.0,1232.1779999999999,0.0,3.1011000000000877,3.031100000000088,1.010366666666696
2017-06-02T12:30,long,2017-06-02 12:30:00+00:00,1263.8503,2017-06-02 13:30:00+00:00,1276.097,timeout,0.01,3.0,1273.097,0.0,12.246699999999919,12.176699999999919,4.058899999999973
2017-07-07T12:30,short,2017-07-07 12:30:00+00:00,1221.4494,2017-07-07 12:34:00+00:00,1224.7135,stop,0.01,3.0,1224.4494,0.0,-3.2641000000000986,-3.3341000000000984,-1.1113666666666995
2017-07-07T12:30,long,2017-07-07 12:33:00+00:00,1223.4444999999998,2017-07-07 13:01:00+00:00,1220.2838,stop,0.01,3.0,1220.4444999999998,0.0,-3.160699999999906,-3.230699999999906,-1.0768999999999687
2017-08-04T12:30,short,2017-08-04 12:30:00+00:00,1266.7905,2017-08-04 13:30:00+00:00,1262.117,timeout,0.01,3.0,1264.4889999999998,0.0,4.673500000000104,4.603500000000103,1.5345000000000344
2017-09-01T12:30,long,2017-09-01 12:30:00+00:00,1321.3271,2017-09-01 12:44:00+00:00,1325.0766,stop,0.01,3.0,1325.259,0.0,3.7495000000001255,3.6795000000001257,1.226500000000042
2017-10-06T12:30,long,2017-10-06 12:30:00+00:00,1269.569,2017-10-06 12:30:00+00:00,1265.956,stop,0.01,3.0,1266.569,0.0,-3.6130000000000564,-3.6830000000000562,-1.2276666666666853
2017-10-06T12:30,short,2017-10-06 12:30:00+00:00,1267.143,2017-10-06 13:30:00+00:00,1265.441,timeout,0.01,3.0,1266.813,0.0,1.7019999999999982,1.6319999999999981,0.5439999999999994
2017-11-03T12:30,long,2017-11-03 12:30:00+00:00,1277.2087999999999,2017-11-03 13:30:00+00:00,1277.377,timeout,0.01,3.0,1274.2087999999999,0.0,0.16820000000006985,0.09820000000006984,0.032733333333356616
2017-12-01T13:30,short,2017-12-01 13:31:00+00:00,1274.132,2017-12-01 14:30:00+00:00,1273.7110000000002,timeout,0.01,3.0,1277.132,0.0,0.42099999999982174,0.35099999999982173,0.11699999999994058
2018-01-05T13:30,short,2018-01-05 13:30:00+00:00,1315.9891,2018-01-05 13:30:00+00:00,1319.568,stop,0.01,3.0,1318.9891,0.0,-3.578899999999976,-3.648899999999976,-1.216299999999992
2018-01-05T13:30,long,2018-01-05 13:30:00+00:00,1318.3468999999998,2018-01-05 14:07:00+00:00,1318.8259,stop,0.01,3.0,1319.162,0.0,0.4790000000002692,0.4090000000002692,0.13633333333342307
2018-02-02T13:30,short,2018-02-02 13:30:00+00:00,1344.1727,2018-02-02 14:30:00+00:00,1340.8890000000001,timeout,0.01,3.0,1343.8890000000001,0.0,3.2836999999999534,3.2136999999999536,1.071233333333318
2018-03-02T13:30,long,2018-03-02 13:30:00+00:00,1322.7211,2018-03-02 14:30:00+00:00,1324.934,timeout,0.01,3.0,1319.7211,0.0,2.2128999999999905,2.1428999999999907,0.7142999999999969
2018-04-06T12:30,long,2018-04-06 12:30:00+00:00,1323.2372,2018-04-06 12:41:00+00:00,1327.0928,stop,0.01,3.0,1327.369,0.0,3.8555999999998676,3.7855999999998677,1.2618666666666225
2018-05-04T12:30,long,2018-05-04 12:30:00+00:00,1311.5712,2018-05-04 13:18:00+00:00,1308.3393,stop,0.01,3.0,1308.5712,0.0,-3.231899999999996,-3.301899999999996,-1.100633333333332
2018-06-01T12:30,short,2018-06-01 12:30:00+00:00,1292.9289,2018-06-01 13:30:00+00:00,1293.5649999999998,timeout,0.01,3.0,1295.9289,0.0,-0.6360999999997148,-0.7060999999997148,-0.2353666666665716
2018-07-06T12:30,short,2018-07-06 12:31:00+00:00,1254.2267,2018-07-06 12:31:00+00:00,1257.533,stop,0.01,3.0,1257.2267,0.0,-3.3062999999999647,-3.3762999999999646,-1.1254333333333215
2018-07-06T12:30,long,2018-07-06 12:30:00+00:00,1256.1597999999997,2018-07-06 13:30:00+00:00,1256.237,timeout,0.01,3.0,1253.1597999999997,0.0,0.07720000000040272,0.007200000000402718,0.002400000000134239
2018-08-03T12:30,long,2018-08-03 12:30:00+00:00,1213.5065,2018-08-03 13:30:00+00:00,1215.716,timeout,0.01,3.0,1214.098,0.0,2.2094999999999345,2.1394999999999347,0.7131666666666449
2018-09-07T12:30,short,2018-09-07 12:30:00+00:00,1200.7929000000001,2018-09-07 13:30:00+00:00,1197.3213,stop,0.01,3.0,1197.202,0.0,3.4716000000000804,3.4016000000000806,1.1338666666666934
2018-10-05T12:30,long,2018-10-05 12:30:00+00:00,1203.2169999999999,2018-10-05 12:39:00+00:00,1200.0095999999999,stop,0.01,3.0,1200.2169999999999,0.0,-3.207400000000007,-3.2774000000000068,-1.092466666666669
2018-10-05T12:30,short,2018-10-05 12:33:00+00:00,1201.431,2018-10-05 12:59:00+00:00,1204.5338000000002,stop,0.01,3.0,1204.431,0.0,-3.1028000000001157,-3.1728000000001155,-1.0576000000000385
2018-11-02T12:30,long,2018-11-02 12:30:00+00:00,1236.2842999999998,2018-11-02 12:30:00+00:00,1232.9299999999998,stop,0.01,3.0,1233.2842999999998,0.0,-3.3542999999999665,-3.4242999999999664,-1.1414333333333222
2018-11-02T12:30,short,2018-11-02 12:30:00+00:00,1234.3757,2018-11-02 13:11:00+00:00,1233.2483000000002,stop,0.01,3.0,1233.0910000000001,0.0,1.1273999999998523,1.0573999999998522,0.3524666666666174
2018-12-07T13:30,long,2018-12-07 13:30:00+00:00,1241.4125,2018-12-07 13:41:00+00:00,1241.8686,stop,0.01,3.0,1242.153,0.0,0.45610000000010587,0.38610000000010586,0.1287000000000353
2019-01-04T13:30,short,2019-01-04 13:30:00+00:00,1289.3226000000002,2019-01-04 14:30:00+00:00,1282.808,timeout,0.01,3.0,1285.808,0.0,6.5146000000002005,6.4446000000002,2.1482000000000667
