event,side,entry_time,entry_price,exit_time,exit_price,reason,lots,risk_usd,sl,tp,gross,pnl,r
2017-06-02T12:30,long,2017-06-02 12:30:00+00:00,1263.914425,2017-06-02 13:00:00+00:00,1274.276,timeout,0.2108036890645546,10.0,1263.44005,0.0,218.42582345190897,216.9501976284571,21.69501976284571
2017-07-07T12:30,short,2017-07-07 12:30:00+00:00,1220.7295499999998,2017-07-07 12:31:00+00:00,1221.9469999999997,stop,0.10607265977194495,10.0,1221.6722999999997,0.0,-12.913815963934075,-13.65632458233769,-1.365632458233769
2017-07-07T12:30,long,2017-07-07 12:34:00+00:00,1224.23645,2017-07-07 12:39:00+00:00,1223.0622,stop,0.10607265977194495,10.0,1223.2937000000002,0.0,-12.455582073720946,-13.19809069212456,-1.319809069212456
2017-08-04T12:30,short,2017-08-04 12:30:00+00:00,1266.5527749999999,2017-08-04 13:00:00+00:00,1262.053,timeout,0.1671192813870809,10.0,1267.15115,0.0,75.19991644035139,74.03008147064182,7.403008147064182
2017-09-01T12:30,long,2017-09-01 12:30:00+00:00,1321.860925,2017-09-01 12:48:00+00:00,1320.3387500000001,stop,0.12347584503781801,10.0,1321.05105,0.0,-18.79518444204201,-19.659515357306738,-1.9659515357306738
2017-10-06T12:30,long,2017-10-06 12:30:00+00:00,1270.273975,2017-10-06 12:30:00+00:00,1268.72885,stop,0.10728174869250541,10.0,1269.34185,0.0,-16.576371194851795,-17.327343435699333,-1.7327343435699334
2017-10-06T12:30,short,2017-10-06 12:30:00+00:00,1266.438025,2017-10-06 12:35:00+00:00,1267.8179499999999,stop,0.10728174869250541,10.0,1267.37015,0.0,-14.804076706450097,-15.555048947297635,-1.5555048947297636
2017-11-03T12:30,long,2017-11-03 12:30:00+00:00,1277.55835,2017-11-03 12:32:00+00:00,1276.6917999999998,stop,0.14743826022851883,10.0,1276.8800999999999,0.0,-12.776262440105077,-13.80833026170471,-1.3808330261704709
2018-01-05T13:30,short,2018-01-05 13:30:00+00:00,1315.8035249999998,2018-01-05 13:30:00+00:00,1316.94355,stop,0.17821341055912523,10.0,1316.36465,0.0,-20.316774337269358,-21.564268211183233,-2.1564268211183233
2018-01-05T13:30,long,2018-01-05 13:30:00+00:00,1318.532475,2018-01-05 14:00:00+00:00,1320.284,timeout,0.17821341055912523,10.0,1317.9713499999998,0.0,31.21452439295948,29.967030519045604,2.9967030519045603
2018-02-02T13:30,long,2018-02-02 13:30:00+00:00,1345.3208,2018-02-02 13:30:00+00:00,1345.00525,stop,0.41194644696179694,10.0,1345.0780499999998,0.0,-12.998970133880746,-15.882595262613325,-1.5882595262613326
2018-02-02T13:30,short,2018-02-02 13:30:00+00:00,1344.3752,2018-02-02 13:30:00+00:00,1344.69075,stop,0.41194644696179694,10.0,1344.61795,0.0,-12.998970133880746,-15.882595262613325,-1.5882595262613326
2018-04-06T12:30,long,2018-04-06 12:30:00+00:00,1324.4509,2018-04-06 12:46:00+00:00,1322.8334,stop,0.07719027402547254,10.0,1323.1554,0.0,-12.485526823620676,-13.025858741798984,-1.3025858741798984
2018-05-04T12:30,long,2018-05-04 12:30:00+00:00,1311.8164500000003,2018-05-04 13:00:00+00:00,1312.957,timeout,0.16563146997929856,10.0,1311.2127000000003,0.0,18.891097308486383,17.731677018631295,1.7731677018631296
2018-06-01T12:30,short,2018-06-01 12:30:00+00:00,1291.6124750000001,2018-06-01 12:38:00+00:00,1293.18865,stop,0.07305268925212295,10.0,1292.98135,0.0,-11.514382248195913,-12.025751072960773,-1.2025751072960773
2018-07-06T12:30,long,2018-07-06 12:30:00+00:00,1256.1808749999998,2018-07-06 12:30:00+00:00,1255.3104499999997,stop,0.22541561003099603,10.0,1255.7372499999997,0.0,-19.620738236124513,-21.198647506341484,-2.1198647506341484
2018-07-06T12:30,short,2018-07-06 12:31:00+00:00,1254.2056249999998,2018-07-06 12:31:00+00:00,1254.95555,stop,0.22541561003099603,10.0,1254.64925,0.0,-16.904480135251177,-18.482389405468147,-1.8482389405468147
2018-08-03T12:30,long,2018-08-03 12:30:00+00:00,1214.6964,2018-08-03 12:33:00+00:00,1213.2068,stop,0.07821666014861116,10.0,1213.4179,0.0,-11.651153695737975,-12.198670316778253,-1.2198670316778253
2018-09-07T12:30,short,2018-09-07 12:30:00+00:00,1200.700425,2018-09-07 13:00:00+00:00,1194.542,timeout,0.20217336365934402,10.0,1201.19505,0.0,124.50694970938117,123.09173616376577,12.309173616376578
2018-10-05T12:30,long,2018-10-05 12:30:00+00:00,1203.796325,2018-10-05 12:31:00+00:00,1202.73215,stop,0.11871197507048466,10.0,1202.95395,0.0,-12.633031607063034,-13.464015432556426,-1.3464015432556427
2018-10-05T12:30,short,2018-10-05 12:34:00+00:00,1200.890975,2018-10-05 12:34:00+00:00,1201.95005,stop,0.11871197507048466,10.0,1201.73335,0.0,-12.572488499776089,-13.403472325269481,-1.340347232526948
2018-11-02T12:30,short,2018-11-02 12:30:00+00:00,1233.554525,2018-11-02 13:00:00+00:00,1231.159,timeout,0.09851003570989231,10.0,1234.56965,0.0,23.59832532939306,22.908755079423813,2.2908755079423813
2018-12-07T13:30,long,2018-12-07 13:30:00+00:00,1241.9626,2018-12-07 13:41:00+00:00,1240.8567,stop,0.12172854534388099,10.0,1241.1411,0.0,-13.461959829580037,-14.314059646987204,-1.4314059646987203
2019-01-04T13:30,short,2019-01-04 13:30:00+00:00,1288.916525,2019-01-04 13:32:00+00:00,1289.89885,stop,0.139154635588792,10.0,1289.63515,0.0,-13.66950774047526,-14.643590189596804,-1.4643590189596805
2019-02-01T13:30,short,2019-02-01 13:30:00+00:00,1320.5231750000003,2019-02-01 13:31:00+00:00,1321.1274500000002,stop,0.24279210925647732,10.0,1320.9350500000003,0.0,-14.671320182093742,-16.370864946889085,-1.6370864946889085
2019-04-05T12:30,short,2019-04-05 12:30:00+00:00,1288.69975,2019-04-05 12:32:00+00:00,1290.2232,stop,0.07303268212524987,10.0,1290.069,0.0,-11.126163958370546,-11.637392733247294,-1.1637392733247294
2019-05-03T12:30,short,2019-05-03 12:30:00+00:00,1270.74245,2019-05-03 12:32:00+00:00,1271.6823,stop,0.1431127012522324,10.0,1271.4412,0.0,-13.450447227190756,-14.452236135956383,-1.4452236135956382
2019-06-07T12:30,long,2019-06-07 12:30:00+00:00,1339.750175,2019-06-07 12:52:00+00:00,1338.26115,stop,0.08353346559465188,10.0,1338.55305,0.0,-12.43834186070645,-13.023076119869012,-1.3023076119869013
2019-07-05T12:30,short,2019-07-05 12:30:00+00:00,1410.4646500000001,2019-07-05 13:00:00+00:00,1397.8010000000002,timeout,0.06214074879602398,10.0,1412.0739,0.0,78.69286934907666,78.2578841075045,7.82578841075045
2019-08-02T12:30,short,2019-08-02 12:30:00+00:00,1435.4046,2019-08-02 12:30:00+00:00,1436.6994,stop,0.15649452269170333,10.0,1436.0436,0.0,-20.262910798120114,-21.358372456962037,-2.135837245696204
2019-08-02T12:30,long,2019-08-02 12:30:00+00:00,1438.5054000000002,2019-08-02 12:36:00+00:00,1437.4851000000003,stop,0.15649452269170333,10.0,1437.8664000000003,0.0,-15.967136150233028,-17.06259780907495,-1.706259780907495
2019-09-06T12:30,long,2019-09-06 12:30:00+00:00,1509.70055,2019-09-06 13:00:00+00:00,1517.905,timeout,0.06636801061888122,10.0,1508.1938,0.0,54.45130247220768,53.98672639787551,5.39867263978755
2019-10-04T12:30,long,2019-10-04 12:30:00+00:00,1512.1455,2019-10-04 12:30:00+00:00,1509.5164000000002,stop,0.06365372374284019,10.0,1510.5745000000002,0.0,-16.73520050922935,-17.18077657542923,-1.718077657542923
2019-10-04T12:30,short,2019-10-04 12:30:00+00:00,1505.6305000000002,2019-10-04 12:30:00+00:00,1508.2596,stop,0.06365372374284019,10.0,1507.2015000000001,0.0,-16.73520050922935,-17.18077657542923,-1.718077657542923
2019-11-01T12:30,short,2019-11-01 12:30:00+00:00,1509.16115,2019-11-01 13:00:00+00:00,1507.9890000000003,timeout,0.1428061406640405,10.0,1509.8614,0.0,16.73902177793046,15.739378793282178,1.5739378793282177
2019-12-06T13:30,long,2019-12-06 13:30:00+00:00,1480.2102000000004,2019-12-06 13:30:00+00:00,1478.0280000000002,stop,0.14925373134328004,10.0,1479.5402000000004,0.0,-32.57014925373346,-33.61492537313642,-3.361492537313642
2019-12-06T13:30,short,2019-12-06 13:30:00+00:00,1475.3098,2019-12-06 14:00:00+00:00,1468.0300000000002,timeout,0.14925373134328004,10.0,1475.9798,0.0,108.65373134327795,107.608955223875,10.7608955223875
2020-02-07T13:30,short,2020-02-07 13:30:00+00:00,1562.9988,2020-02-07 13:31:00+00:00,1564.4144,stop,0.09009009009008899,10.0,1564.1088,0.0,-12.753153153151313,-13.383783783781936,-1.3383783783781937
2020-02-07T13:30,long,2020-02-07 13:32:00+00:00,1566.8769000000002,2020-02-07 13:32:00+00:00,1565.516,stop,0.09009009009008899,10.0,1565.7669,0.0,-12.260360360361371,-12.890990990991995,-1.2890990990991995
2020-03-06T13:30,short,2020-03-06 13:34:00+00:00,1674.4808500000001,2020-03-06 14:00:00+00:00,1674.5860000000002,timeout,0.02829454622621501,10.0,1678.0151,0.0,-0.2975171535689174,-0.49557897715242244,-0.049557897715242244
2020-04-03T12:30,short,2020-04-03 12:31:00+00:00,1613.1293500000002,2020-04-03 12:32:00+00:00,1616.3802,stop,0.03569834895136123,10.0,1615.9306000000001,0.0,-11.60499776885291,-11.854886211512438,-1.1854886211512439
2020-06-05T12:30,short,2020-06-05 12:30:00+00:00,1696.7864,2020-06-05 13:00:00+00:00,1686.556,timeout,0.042625745950554066,10.0,1699.1324,0.0,43.607843137254484,43.309462915600605,4.3309462915600605
