scale,dist,hedge,sl,tp,trail,max_hold,exit,all_net_usd,all_per_event_R,all_profit_factor,all_event_winrate,all_max_dd_usd,all_t_stat,all_trades,is_net_usd,is_per_event_R,is_profit_factor,is_event_winrate,is_max_dd_usd,is_t_stat,is_trades,oos_net_usd,oos_per_event_R,oos_profit_factor,oos_event_winrate,oos_max_dd_usd,oos_t_stat,oos_trades
vol,0.6,False,1.0,0.0,0.5,60,trail,42.66,0.039,1.11,39.8,112.7,0.4,85,-74.03,-0.11,0.73,31.3,112.7,-0.95,52,116.68,0.285,2.0,53.7,66.3,1.68,33
vol,0.6,False,1.0,0.0,1.0,60,trail,139.46,0.129,1.3,37.0,124.94,0.99,85,-20.46,-0.031,0.94,29.9,124.94,-0.19,52,159.92,0.39,2.25,48.8,72.64,1.87,33
vol,0.6,False,1.0,0.0,0.0,15,timeout,210.91,0.195,1.51,38.9,127.82,1.53,85,-12.85,-0.019,0.96,28.4,127.82,-0.13,52,223.77,0.546,3.13,56.1,47.96,2.53,33
vol,0.6,False,1.0,0.0,0.0,30,timeout,214.5,0.199,1.47,37.0,129.79,1.42,85,7.71,0.012,1.02,29.9,129.79,0.07,52,206.79,0.504,2.62,48.8,52.33,2.19,33
vol,0.6,False,1.0,0.0,0.0,60,timeout,99.43,0.092,1.19,30.6,136.64,0.63,85,-6.66,-0.01,0.98,25.4,136.64,-0.06,52,106.09,0.259,1.66,39.0,113.38,1.05,33
vol,0.6,False,1.5,0.5,0.0,60,target,14.28,0.013,1.08,58.3,65.81,0.28,85,-14.08,-0.021,0.89,55.2,65.81,-0.33,52,28.35,0.069,1.5,63.4,32.68,0.98,33
vol,0.6,False,1.5,1.0,0.0,60,target,10.52,0.01,1.04,43.5,119.74,0.15,85,-80.76,-0.121,0.65,35.8,119.74,-1.41,52,91.28,0.223,2.51,56.1,32.56,2.44,33
vol,0.6,False,1.5,2.0,0.0,60,target,85.33,0.079,1.24,36.1,123.86,0.89,85,-40.95,-0.061,0.85,29.9,123.86,-0.55,52,126.28,0.308,2.48,46.3,33.48,2.22,33
vol,0.6,False,1.5,0.0,0.25,60,trail,30.08,0.028,1.11,52.8,103.43,0.4,85,-53.6,-0.08,0.72,46.3,103.43,-0.92,52,83.68,0.204,2.09,63.4,29.48,1.76,33
vol,0.6,False,1.5,0.0,0.5,60,trail,21.12,0.02,1.07,42.6,97.92,0.27,85,-56.54,-0.084,0.73,32.8,97.92,-0.92,52,77.65,0.189,1.97,58.5,36.87,1.58,33
vol,0.6,False,1.5,0.0,1.0,60,trail,70.23,0.065,1.2,38.9,119.47,0.69,85,-27.27,-0.041,0.89,32.8,119.47,-0.34,52,97.5,0.238,2.03,48.8,44.3,1.62,33
vol,0.6,False,1.5,0.0,0.0,15,timeout,118.12,0.109,1.38,41.7,117.9,1.2,85,-29.33,-0.044,0.88,32.8,117.9,-0.39,52,147.45,0.36,3.05,56.1,27.13,2.43,33
vol,0.6,False,1.5,0.0,0.0,30,timeout,130.15,0.121,1.39,41.7,112.96,1.22,85,-8.09,-0.012,0.97,34.3,112.96,-0.1,52,138.24,0.337,2.56,53.7,23.67,2.13,33
vol,0.6,False,1.5,0.0,0.0,60,timeout,50.9,0.047,1.13,33.3,122.47,0.46,85,-14.52,-0.022,0.95,29.9,122.47,-0.17,52,65.42,0.16,1.58,39.0,77.59,0.94,33
