scale,dist,hedge,sl,tp,trail,max_hold,exit,all_net_usd,all_per_event_R,all_profit_factor,all_event_winrate,all_max_dd_usd,all_t_stat,all_trades,is_net_usd,is_per_event_R,is_profit_factor,is_event_winrate,is_max_dd_usd,is_t_stat,is_trades,oos_net_usd,oos_per_event_R,oos_profit_factor,oos_event_winrate,oos_max_dd_usd,oos_t_stat,oos_trades
vol,0.35,False,1.0,1.0,0.0,60,target,209.6,0.194,1.69,51.9,72.47,2.34,93,30.4,0.045,1.13,44.8,72.47,0.42,58,179.2,0.437,3.57,63.4,35.88,3.61,35
vol,0.35,False,1.0,2.0,0.0,60,target,249.7,0.231,1.59,40.7,114.68,1.92,93,22.63,0.034,1.07,32.8,114.68,0.22,58,227.07,0.554,3.14,53.7,34.82,2.87,35
vol,0.35,False,1.0,0.0,0.25,60,trail,258.54,0.239,1.9,51.9,75.71,2.42,93,72.17,0.108,1.35,49.3,75.71,0.89,58,186.37,0.455,3.21,56.1,24.36,2.75,35
vol,0.35,False,1.0,0.0,0.5,60,trail,193.87,0.18,1.56,51.9,107.77,1.75,93,-20.42,-0.03,0.92,44.8,107.77,-0.25,58,214.29,0.523,3.56,63.4,25.15,3.03,35
vol,0.35,False,1.0,0.0,1.0,60,trail,272.58,0.252,1.68,42.6,133.3,1.87,93,24.55,0.037,1.08,32.8,133.3,0.22,58,248.03,0.605,3.61,58.5,43.49,2.83,35
vol,0.35,False,1.0,0.0,0.0,15,timeout,338.0,0.313,1.85,46.3,120.22,2.3,93,39.03,0.058,1.13,38.8,120.22,0.35,58,298.97,0.729,4.39,58.5,22.25,3.26,35
vol,0.35,False,1.0,0.0,0.0,30,timeout,351.22,0.325,1.81,44.4,117.3,2.2,93,61.57,0.092,1.19,37.3,117.3,0.5,58,289.65,0.706,3.73,56.1,26.68,2.97,35
vol,0.35,False,1.0,0.0,0.0,60,timeout,227.22,0.21,1.47,36.1,116.4,1.38,93,54.17,0.081,1.16,29.9,116.4,0.43,58,173.05,0.422,2.24,46.3,75.43,1.66,35
vol,0.35,False,1.5,0.5,0.0,60,target,116.36,0.108,1.97,68.5,34.28,2.71,93,58.79,0.088,1.71,67.2,34.28,1.66,58,57.57,0.14,2.55,70.7,12.46,2.34,35
vol,0.35,False,1.5,1.0,0.0,60,target,143.91,0.133,1.67,55.6,52.62,2.19,93,25.86,0.039,1.15,49.3,52.62,0.48,58,118.05,0.288,3.46,65.9,26.52,3.34,35
vol,0.35,False,1.5,2.0,0.0,60,target,156.35,0.145,1.5,44.4,98.56,1.65,93,6.33,0.009,1.03,37.3,98.56,0.08,58,150.02,0.366,3.08,56.1,24.21,2.73,35
vol,0.35,False,1.5,0.0,0.25,60,trail,178.69,0.165,1.92,55.6,55.17,2.38,93,58.24,0.087,1.44,53.7,55.17,1.01,58,120.45,0.294,2.97,58.5,16.0,2.51,35
