year,releases,net_usd,per_event_R,winrate
2017,8,197.78,2.472,25.0
2018,12,22.26,0.185,33.3
2019,12,79.07,0.659,33.3
2020,12,-14.24,-0.119,16.7
2021,11,354.67,3.224,36.4
2022,12,249.49,2.079,33.3
2023,11,333.66,3.033,45.5
2024,12,177.73,1.481,41.7
2025,11,239.77,2.18,36.4
2026,7,281.94,4.028,42.9
